,Application Number,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,DOB,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,Application Status,age,Vehicle Age,is_npl
10,25650621ULCR00004,30000.0,26618.83,24,M,1994-12-24,อื่นๆ,40000.0,CAR,CHEVROLET,AVEO,2012,BT,121000,S1,2022-06-21,S1,PL,APPLICATION_COMPLETED,29,11,0
22,25650621ULMB00060,20000.0,18434.0,12,M,1994-01-26,อื่นๆ,15000.0,MC,HONDA,WAVE 110I,2019,DB,34500,S2,2023-01-10,S3,NPL,APPLICATION_COMPLETED,29,4,1
61,25650623ULMB00007,28000.0,26483.19,24,F,1989-12-30,อื่นๆ,15000.0,MC,HONDA,DREAM 110,2015,CC,44000,S2,2022-11-27,S1,NPL,APPLICATION_COMPLETED,34,8,1
64,25650623REUM00003,51000.0,50715.88,36,F,1995-04-10,อื่นๆ,10000.0,MC,HONDA,PCX 150I,2018,BV,64500,S3,2022-12-29,S2,NPL,APPLICATION_COMPLETED,28,5,1
69,25650623ULMB00021,14000.0,13975.46,36,F,1982-10-22,พนักงานบริษัท,13000.0,MC,HONDA,WAVE 110 I,2009,AF,19000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,41,14,0
72,25650623ULMB00025,30000.0,29959.48,24,F,1979-05-30,อื่นๆ,20000.0,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S2,2023-01-14,S1,PL,APPLICATION_COMPLETED,44,4,0
94,25650624ULCR00024,90000.0,89933.6,24,M,1966-09-20,พนักงานบริษัท,15000.0,PU,MITSUBISHI,TRITON,2012,AO,157000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,57,11,0
111,25650625REUC00004,130000.0,130000.0,60,F,1986-12-09,STREET VENDOR,35000.0,PU,FORD,RANGER,2007,BU,212000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,37,16,0
131,25650627ULMB00018,37000.0,36011.72,36,M,1997-02-03,พนักงานบริษัท,20500.0,MC,HONDA,CLICK 160,2022,CP,57100,S3,2022-12-29,S2,NPL,APPLICATION_COMPLETED,26,1,1
145,25650627ULCR00018,170000.0,166153.35,24,M,1962-01-30,อื่นๆ,50000.0,CAR,TOYOTA,COROLLA ALTIS,2011,AC,236500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,61,12,0
148,25650627ULMB00032,17000.0,16920.59,36,M,1988-01-02,อื่นๆ,20000.0,MC,KAWASAKI,NEW KSR 110,2014,AL,24500,S1,2022-06-27,S1,PL,APPLICATION_COMPLETED,35,9,0
168,25650627ULMB00053,17000.0,16790.22,18,M,1985-03-07,พนักงานบริษัท,20000.0,MC,YAMAHA,FILANO,2012,AA,23500,S1,2022-06-27,S1,PL,APPLICATION_COMPLETED,38,11,0
179,25650627ULMB00062,25000.0,24347.9,36,F,1991-07-31,อื่นๆ,15000.0,MC,HONDA,PCX 125I,2011,AB,33500,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,32,12,0
188,25650627REUM00018,26000.0,23070.54,12,F,1984-09-01,พนักงานรัฐวิสาหกิจ,19950.0,MC,YAMAHA,FINO (MLEKE),2010,AL,35000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,39,13,0
196,25650628ULMB00006,40000.0,39506.09,36,F,1988-03-22,STREET VENDOR,12000.0,MC,HONDA,PCX 150I,2019,CF,72000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,35,4,0
211,25650628REUC00007,185000.0,184655.71,48,F,1973-04-16,STREET VENDOR,20000.0,PU,ISUZU,D-MAX,2008,BE,270500,S1,2022-06-28,S1,PL,APPLICATION_COMPLETED,50,15,0
232,25650628ULMB00032,50000.0,49948.79,24,F,1985-01-11,พนักงานบริษัท,9233.0,MC,HONDA,PCX 150,2019,DN,72000,S2,2022-12-04,S1,PL,APPLICATION_COMPLETED,38,4,0
233,25650628ULMB00038,23000.0,21696.55,18,M,1956-05-26,STREET VENDOR,24000.0,MC,YAMAHA,FINO (MLEKE),2011,AD,35500,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,67,12,0
248,25650628REUM00021,19500.0,19276.06,36,F,1979-05-20,STREET VENDOR,20000.0,MC,HONDA,WAVE 110I,2016,BV,26000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,44,7,0
254,25650629ULMB00001,21000.0,18421.05,18,F,1976-09-01,อื่นๆ,6500.0,MC,YAMAHA,GRAND FILANO 125,2015,BF,33000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,47,8,0
274,25650629ULMB00045,22000.0,21385.62,24,F,1968-11-01,STREET VENDOR,30000.0,MC,YAMAHA,GRAND FILANO 125,2015,BH,31000,S1,2023-01-04,S2,PL,APPLICATION_COMPLETED,55,8,0
292,25650629ULCR00015,60000.0,59928.81,36,M,1986-11-15,อื่นๆ,80000.0,CAR,ISUZU,TROOPER,2000,FR,358000,S2,2023-01-03,S1,PL,APPLICATION_COMPLETED,37,23,0
306,25650629ULMB00069,10000.0,5181.42,12,F,1994-02-11,พนักงานบริษัท,19500.0,MC,HONDA,SCOOPY I,2020,CX,46500,S1,2022-06-29,S1,PL,APPLICATION_COMPLETED,29,3,0
308,25650629ULMB00096,26000.0,24266.03,12,F,1982-06-17,STREET VENDOR,60000.0,MC,HONDA,WAVE 125 I,2018,DC,34900,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,41,5,0
321,25650629ULMB00132,17000.0,14831.51,24,M,1974-03-02,อื่นๆ,15000.0,MC,HONDA,WAVE 100,2010,AW,26000,S1,2022-06-29,S1,PL,APPLICATION_COMPLETED,49,13,0
352,25650629ULCR00061,25500.0,25213.02,24,M,1961-04-08,STREET VENDOR,28000.0,CAR,TOYOTA,SOLUNA,2000,CP,86000,S1,2022-06-29,S1,PL,APPLICATION_COMPLETED,62,23,0
382,25650629ULCR00084,170000.0,167403.74,48,F,1983-03-13,STREET VENDOR,20000.0,CAR,SUZUKI,SWIFT,2014,AJ,275000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,40,9,0
392,25650629REUM00047,28000.0,26326.67,12,M,1988-08-05,อื่นๆ,20000.0,MC,HONDA,WAVE 110I,2020,DM,37500,S2,2022-12-10,S1,PL,APPLICATION_COMPLETED,35,3,0
402,25650629REUM00068,15700.0,15594.86,36,F,1968-05-25,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,55,12,0
414,25650629ULCR00097,197000.0,197000.0,60,M,1992-08-01,พนักงานรัฐวิสาหกิจ,23538.0,CAR,HONDA,CITY,2011,BA,263000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,31,12,0
426,25650629ULMB00287,35000.0,35000.0,36,F,1981-06-13,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2020,CX,46500,S3,2022-12-06,S2,NPL,APPLICATION_COMPLETED,42,3,1
458,25650629ULMB00306,10000.0,5949.79,12,M,1973-02-10,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,50,4,0
459,25650629ULCR00124,200000.0,198693.91,60,F,1973-12-21,เกษตรกร,50000.0,CAR,TOYOTA,VIOS,2013,DU,290000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,50,10,0
480,25650630ULMB00031,19000.0,18932.1,18,M,1980-02-11,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S2,2022-12-28,S1,PL,APPLICATION_COMPLETED,43,5,0
483,25650630REUC00012,200000.0,199750.29,60,F,1990-07-15,เกษตรกร,20000.0,PU,MITSUBISHI,TRITON,2012,BU,372000,S2,2023-01-06,S1,PL,APPLICATION_COMPLETED,33,11,0
503,25650630ULCR00044,190000.0,190000.0,60,M,1988-08-03,อื่นๆ,30000.0,CAR,TOYOTA,CAMRY,2009,EO,323500,S3,2022-11-28,S2,NPL,APPLICATION_COMPLETED,35,14,1
505,25650630REUM00024,15000.0,15000.0,18,F,1984-10-30,STREET VENDOR,15000.0,MC,HONDA,SCOOPY I,2012,BO,23000,S3,2022-12-09,S2,NPL,APPLICATION_COMPLETED,39,11,1
510,25650630ULCR00048,150000.0,150000.0,60,M,1980-03-05,STREET VENDOR,19000.0,MC,YAMAHA,FINO (MLEKE),2012,AE,25000,S2,2023-01-09,S1,PL,APPLICATION_COMPLETED,43,11,0
535,25650630ULMB00106,8600.0,8059.34,12,M,1993-07-28,อื่นๆ,13000.0,MC,YAMAHA,MIO 125,2011,AF,13000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,30,12,0
544,25650630REUC00030,70000.0,66449.75,24,M,1978-02-28,พนักงานบริษัท,30000.0,CAR,TOYOTA,COROLLA ALTIS,2005,BJ,153000,S3,2023-01-02,S2,NPL,APPLICATION_COMPLETED,45,18,1
549,25650630REUM00043,16000.0,15990.65,18,M,1995-12-20,พนักงานบริษัท,13000.0,MC,HONDA,MSX 125,2014,BB,26000,S1,2022-06-30,S1,PL,APPLICATION_COMPLETED,28,9,0
553,25650630ULCR00064,150000.0,150000.0,60,M,1984-03-29,STREET VENDOR,40000.0,PU,ISUZU,D-MAX,2009,AW,240500,S3,2022-11-20,S2,NPL,APPLICATION_COMPLETED,39,14,1
562,25650630REUM00047,26000.0,21697.43,18,F,1986-07-05,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,2022-06-30,S1,PL,APPLICATION_COMPLETED,37,7,0
582,25650630ULMB00138,16500.0,16149.63,24,F,1988-08-19,เกษตรกร,15000.0,MC,HONDA,CLICK 125I,2011,AZ,22000,S2,2022-12-07,S1,PL,APPLICATION_COMPLETED,35,12,0
