,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate,F,M
0,199000.0,199000.0,60,STREET VENDOR,20000.0,PU,NISSAN,FRONTIER NAVARA,2012,AD,283500,S1,2022-11-14,S1,PL,44,11,70.19400352733686,65-75%,1,0
1,60000.0,58822.04,36,อื่นๆ,14000.0,CAR,TOYOTA,COROLLA ALTIS,2002,AJ,111000,S1,2022-09-06,S1,PL,53,21,54.054054054054056,50-65%,0,1
2,36000.0,35904.37,24,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 150I,2019,BH,48500,S1,2022-12-30,S2,PL,32,4,74.22680412371135,65-75%,1,0
3,30000.0,28813.69,24,เกษตรกร,35000.0,MC,HONDA,PCX 150,2020,ED,76500,S1,2022-11-12,S1,PL,37,3,39.21568627450981,30-50%,1,0
4,200000.0,200000.0,36,พนักงานบริษัท,40000.0,PU,ISUZU,D-MAX,2013,BU,414500,S1,2022-12-29,S1,PL,57,10,48.25090470446321,30-50%,0,1
5,111000.0,111000.0,60,เกษตรกร,12645.0,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S1,2022-12-15,S1,PL,61,20,58.42105263157895,50-65%,0,1
6,21000.0,20160.78,36,เกษตรกร,8000.0,MC,HONDA,SCOOPY I,2018,CE,28000,S1,2022-08-18,S1,PL,66,5,75.0,65-75%,0,1
7,29000.0,28530.66,24,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,2022-10-10,S1,PL,34,7,74.35897435897436,65-75%,1,0
8,33000.0,32485.66,36,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,2022-11-14,S1,PL,39,3,75.0,65-75%,1,0
9,200000.0,199526.65,60,พนักงานบริษัท,18000.0,CAR,NISSAN,MARCH,2018,AX,322000,S1,2022-10-07,S1,PL,31,5,62.11180124223602,65-75%,1,0
10,18000.0,18000.0,12,พนักงานบริษัท,20000.0,MC,YAMAHA,TTX 115,2012,AJ,10000,S1,2022-12-27,S1,PL,58,11,180.0,30%,0,1
11,10000.0,9907.53,24,ข้าราชการ,15000.0,MC,HONDA,WAVE X,2007,AV,20000,S1,2022-08-18,S1,PL,49,16,50.0,30-50%,0,1
13,26000.0,25824.05,36,พนักงานบริษัท,15000.0,MC,HONDA,DREAM 110,2013,BJ,40000,S1,2022-11-08,S1,PL,24,10,65.0,65-75%,0,1
15,30000.0,29200.07,24,อื่นๆ,10000.0,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S1,2022-11-10,S1,PL,47,4,64.51612903225806,65-75%,1,0
16,250000.0,243185.8,36,STREET VENDOR,40000.0,PU,TOYOTA,HILUX VIGO,2013,EQ,371500,S1,2022-10-10,S1,PL,48,10,67.29475100942126,65-75%,0,1
17,295000.0,295000.0,60,เกษตรกร,21250.0,PU,ISUZU,D-MAX,2011,BR,392500,S1,2022-12-19,S1,PL,51,12,75.15923566878982,75%,0,1
18,33000.0,31690.06,24,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-11-22,S1,PL,48,4,75.0,65-75%,0,1
19,142000.0,141901.83,60,อื่นๆ,20000.0,PU,TOYOTA,HILUX VIGO,2008,EI,204000,S1,2022-08-22,S1,PL,60,15,69.6078431372549,65-75%,0,1
20,200000.0,198385.72,48,พนักงานบริษัท,15000.0,PU,ISUZU,D-MAX,2013,BR,374500,S1,2022-10-05,S1,PL,41,10,53.40453938584779,50-65%,1,0
22,189000.0,188941.36,60,พนักงานบริษัท,22000.0,CAR,NISSAN,ALMERA,2016,BD,269500,S1,2022-10-16,S1,PL,40,7,70.12987012987013,65-75%,0,1
