,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
0,199000.0,199000.0,60,F,STREET VENDOR,20000.0,PU,NISSAN,FRONTIER NAVARA,2012,AD,283500,S1,2022-11-14,S1,PL,44,11
1,60000.0,58822.04,36,M,อื่นๆ,14000.0,CAR,TOYOTA,COROLLA ALTIS,2002,AJ,111000,S1,2022-09-06,S1,PL,53,21
2,36000.0,35904.37,24,F,พนักงานบริษัท,15000.0,MC,HONDA,CLICK 150I,2019,BH,48500,S1,2022-12-30,S2,PL,32,4
3,30000.0,28813.69,24,F,เกษตรกร,35000.0,MC,HONDA,PCX 150,2020,ED,76500,S1,2022-11-12,S1,PL,37,3
4,200000.0,200000.0,36,M,พนักงานบริษัท,40000.0,PU,ISUZU,D-MAX,2013,BU,414500,S1,2022-12-29,S1,PL,57,10
5,111000.0,111000.0,60,M,เกษตรกร,12645.0,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S1,2022-12-15,S1,PL,61,20
6,21000.0,20160.78,36,M,เกษตรกร,8000.0,MC,HONDA,SCOOPY I,2018,CE,28000,S1,2022-08-18,S1,PL,66,5
7,29000.0,28530.66,24,F,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,2022-10-10,S1,PL,34,7
8,33000.0,32485.66,36,F,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,2022-11-14,S1,PL,39,3
9,200000.0,199526.65,60,F,พนักงานบริษัท,18000.0,CAR,NISSAN,MARCH,2018,AX,322000,S1,2022-10-07,S1,PL,31,5
10,18000.0,18000.0,12,M,พนักงานบริษัท,20000.0,MC,YAMAHA,TTX 115,2012,AJ,10000,S1,2022-12-27,S1,PL,58,11
11,10000.0,9907.53,24,M,ข้าราชการ,15000.0,MC,HONDA,WAVE X,2007,AV,20000,S1,2022-08-18,S1,PL,49,16
13,26000.0,25824.05,36,M,พนักงานบริษัท,15000.0,MC,HONDA,DREAM 110,2013,BJ,40000,S1,2022-11-08,S1,PL,24,10
15,30000.0,29200.07,24,F,อื่นๆ,10000.0,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S1,2022-11-10,S1,PL,47,4
16,250000.0,243185.8,36,M,STREET VENDOR,40000.0,PU,TOYOTA,HILUX VIGO,2013,EQ,371500,S1,2022-10-10,S1,PL,48,10
