,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
0,199000,199000,60,F,STREET VENDOR,20000,PU,NISSAN,FRONTIER NAVARA,2012,AD,283500,S1,14/11/2022,S1,PL,44,11,70.19400353,65-75%
1,60000,58822.04,36,M,อื่นๆ,14000,CAR,TOYOTA,COROLLA ALTIS,2002,AJ,111000,S1,6/9/2022,S1,PL,53,21,54.05405405,50-65%
2,36000,35904.37,24,F,พนักงานบริษัท,15000,MC,HONDA,CLICK 150I,2019,BH,48500,S1,30/12/2022,S2,PL,32,4,74.22680412,65-75%
3,30000,28813.69,24,F,เกษตรกร,35000,MC,HONDA,PCX 150,2020,ED,76500,S1,12/11/2022,S1,PL,37,3,39.21568627,30-50%
4,200000,200000,36,M,พนักงานบริษัท,40000,PU,ISUZU,D-MAX,2013,BU,414500,S1,29/12/2022,S1,PL,57,10,48.2509047,30-50%
5,111000,111000,60,M,เกษตรกร,12645,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S1,15/12/2022,S1,PL,61,20,58.42105263,50-65%
6,21000,20160.78,36,M,เกษตรกร,8000,MC,HONDA,SCOOPY I,2018,CE,28000,S1,18/8/2022,S1,PL,66,5,75,65-75%
7,29000,28530.66,24,F,เกษตรกร,15000,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,10/10/2022,S1,PL,34,7,74.35897436,65-75%
8,33000,32485.66,36,F,พนักงานบริษัท,12000,MC,HONDA,WAVE 110 I,2020,EG,44000,S1,14/11/2022,S1,PL,39,3,75,65-75%
9,200000,199526.65,60,F,พนักงานบริษัท,18000,CAR,NISSAN,MARCH,2018,AX,322000,S1,7/10/2022,S1,PL,31,5,62.11180124,65-75%
10,18000,18000,12,M,พนักงานบริษัท,20000,MC,YAMAHA,TTX 115,2012,AJ,10000,S1,27/12/2022,S1,PL,58,11,180,30%
11,10000,9907.53,24,M,ข้าราชการ,15000,MC,HONDA,WAVE X,2007,AV,20000,S1,18/8/2022,S1,PL,49,16,50,30-50%
13,26000,25824.05,36,M,พนักงานบริษัท,15000,MC,HONDA,DREAM 110,2013,BJ,40000,S1,8/11/2022,S1,PL,24,10,65,65-75%
15,30000,29200.07,24,F,อื่นๆ,10000,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S1,10/11/2022,S1,PL,47,4,64.51612903,65-75%
16,250000,243185.8,36,M,STREET VENDOR,40000,PU,TOYOTA,HILUX VIGO,2013,EQ,371500,S1,10/10/2022,S1,PL,48,10,67.29475101,65-75%
17,295000,295000,60,M,เกษตรกร,21250,PU,ISUZU,D-MAX,2011,BR,392500,S1,19/12/2022,S1,PL,51,12,75.15923567,75%
18,33000,31690.06,24,M,พนักงานบริษัท,15000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,22/11/2022,S1,PL,48,4,75,65-75%
19,142000,141901.83,60,M,อื่นๆ,20000,PU,TOYOTA,HILUX VIGO,2008,EI,204000,S1,22/8/2022,S1,PL,60,15,69.60784314,65-75%
20,200000,198385.72,48,F,พนักงานบริษัท,15000,PU,ISUZU,D-MAX,2013,BR,374500,S1,5/10/2022,S1,PL,41,10,53.40453939,50-65%
22,189000,188941.36,60,M,พนักงานบริษัท,22000,CAR,NISSAN,ALMERA,2016,BD,269500,S1,16/10/2022,S1,PL,40,7,70.12987013,65-75%
23,100000,100000,60,F,STREET VENDOR,16000,CAR,TOYOTA,VIOS,2010,DX,222000,S1,28/12/2022,S1,PL,56,13,45.04504505,30-50%
24,30000,28781.93,36,M,เกษตรกร,18000,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,28/10/2022,S1,PL,42,5,73.17073171,65-75%
25,190000,190000,60,M,เลี้ยงสัตว์,40000,PU,MITSUBISHI,TRITON,2010,BO,205000,S1,10/11/2022,S1,PL,47,13,92.68292683,75%
26,283000,283000,60,F,บุคลากรทางการแพทย์,25000,PU,ISUZU,D-MAX,2011,AM,353500,S1,20/10/2022,S1,PL,30,12,80.05657709,75%
27,26000,25006.47,24,M,พนักงานบริษัท,30000,MC,HONDA,SCOOPY I,2019,AM,46000,S1,4/10/2022,S1,PL,46,4,56.52173913,50-65%
28,15000,13733.61,18,F,เกษตรกร,20000,MC,HONDA,WAVE 110 I,2010,AG,20000,S1,26/9/2022,S1,PL,47,13,75,65-75%
30,100000,97109.66,48,M,เกษตรกร,29400,PU,TOYOTA,HILUX VIGO,2006,CT,321500,S1,17/12/2022,S1,PL,50,17,31.10419907,30-50%
31,15400,14994.38,36,F,อื่นๆ,15000,MC,HONDA,SCOOPY I,2009,BA,20500,S1,16/11/2022,S1,PL,42,14,75.12195122,75%
33,30000,30000,36,M,STREET VENDOR,40000,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,16/11/2022,S1,PL,29,5,73.17073171,65-75%
34,155000,143522.92,12,F,STREET VENDOR,40000,CAR,HONDA,CITY,2012,BQ,271000,S1,27/11/2022,S1,PL,43,11,57.19557196,50-65%
36,300000,300000,60,F,เกษตรกร,20000,PU,ISUZU,D-MAX,2012,CJ,375500,S1,12/12/2022,S1,PL,45,11,79.89347537,75%
37,3000,2121.44,12,M,พนักงานบริษัท,25000,MC,YAMAHA,MIO 115,2005,AH,10000,S1,18/7/2022,S1,PL,46,18,30,30%
39,19000,18079.94,36,F,เกษตรกร,15000,MC,HONDA,MSX 125,2014,BB,26000,S1,11/11/2022,S1,PL,62,9,73.07692308,65-75%
40,26300,26300,36,M,STREET VENDOR,30000,CAR,HONDA,CITY,2000,DQ,92500,S1,3/12/2022,S1,PL,52,23,28.43243243,30%
