,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
0,7500.0,0.0,12,1,4,10000.0,2,16,124,2002,0,PL,31,21
22,20000.0,18434.0,12,1,8,15000.0,1,4,145,2019,1,NPL,29,4
59,165000.0,0.0,60,1,0,30000.0,0,16,142,2010,0,NPL,33,13
61,28000.0,26483.19,24,0,8,15000.0,1,4,41,2015,1,NPL,34,8
64,51000.0,50715.88,36,0,8,10000.0,1,4,98,2018,2,NPL,28,5
65,220000.0,0.0,60,1,4,25000.0,2,16,65,2006,0,PL,51,17
69,14000.0,13975.46,36,0,4,13000.0,1,4,144,2009,1,NPL,41,14
72,30000.0,29959.48,24,0,8,20000.0,1,18,58,2019,1,PL,44,4
94,90000.0,89933.6,24,1,4,15000.0,2,10,139,2012,1,PL,57,11
131,37000.0,36011.72,36,1,4,20500.0,1,4,25,2022,2,NPL,26,1
148,17000.0,16920.59,36,1,8,20000.0,1,6,89,2014,0,PL,35,9
168,17000.0,16790.22,18,1,4,20000.0,1,18,48,2012,0,PL,38,11
179,25000.0,24347.9,36,0,8,15000.0,1,4,96,2011,1,NPL,32,12
188,26000.0,23070.54,12,0,5,19950.0,1,18,51,2010,1,PL,39,13
196,40000.0,39506.09,36,0,0,12000.0,1,4,98,2019,1,PL,35,4
211,185000.0,184655.71,48,0,0,20000.0,2,5,36,2008,0,PL,50,15
232,50000.0,49948.79,24,0,4,9233.0,1,4,97,2019,1,NPL,38,4
233,23000.0,21696.55,18,1,0,24000.0,1,18,51,2011,1,PL,67,12
248,19500.0,19276.06,36,0,0,20000.0,1,4,145,2016,1,PL,44,7
254,21000.0,18421.05,18,0,8,6500.0,1,18,58,2015,1,PL,47,8
274,22000.0,21385.62,24,0,0,30000.0,1,18,58,2015,0,PL,55,8
306,10000.0,5181.42,12,0,4,19500.0,1,4,111,2020,0,PL,29,3
321,17000.0,14831.51,24,1,8,15000.0,1,4,143,2010,0,PL,49,13
352,25500.0,25213.02,24,1,0,28000.0,0,16,119,2000,0,PL,62,23
368,29000.0,0.0,18,1,9,12000.0,1,4,145,2019,0,PL,66,4
382,170000.0,167403.74,48,0,0,20000.0,0,15,133,2014,1,PL,40,9
392,28000.0,26326.67,12,1,8,20000.0,1,4,145,2020,1,NPL,35,3
402,15700.0,15594.86,36,0,0,30000.0,1,4,144,2011,1,NPL,55,12
414,197000.0,197000.0,60,1,5,23538.0,0,4,19,2011,1,NPL,31,12
426,35000.0,35000.0,36,0,0,15000.0,1,4,111,2020,2,NPL,42,3
458,10000.0,5949.79,12,1,9,20000.0,1,4,144,2019,1,PL,50,4
480,19000.0,18932.1,18,1,8,12000.0,1,4,144,2018,1,NPL,43,5
483,200000.0,199750.29,60,0,9,20000.0,2,10,139,2012,1,PL,33,11
503,190000.0,190000.0,60,1,8,30000.0,0,16,12,2009,2,NPL,35,14
505,15000.0,15000.0,18,0,0,15000.0,1,4,111,2012,2,NPL,39,11
510,150000.0,150000.0,60,1,0,19000.0,1,18,51,2012,1,PL,43,11
535,8600.0,8059.34,12,1,8,13000.0,1,18,82,2011,1,NPL,30,12
544,70000.0,66449.75,24,1,4,30000.0,0,16,30,2005,2,NPL,45,18
549,16000.0,15990.65,18,1,4,13000.0,1,4,86,2014,0,PL,28,9
562,26000.0,21697.43,18,0,9,15000.0,1,4,144,2016,0,PL,37,7
582,16500.0,16149.63,24,0,9,15000.0,1,4,23,2011,1,NPL,35,12
608,150000.0,150000.0,60,1,0,25000.0,2,16,65,2010,2,NPL,28,13
619,39500.0,38409.75,30,0,0,30000.0,1,4,42,2017,1,NPL,39,6
625,31000.0,30133.93,36,1,4,15000.0,1,4,97,2013,1,NPL,38,10
638,23000.0,23000.0,36,0,0,7000.0,1,18,51,2011,2,NPL,32,12
656,46000.0,46000.0,36,0,8,10000.0,1,4,97,2017,2,NPL,37,6
661,30000.0,29769.9,24,0,8,12000.0,1,4,144,2019,1,PL,39,4
681,190000.0,190000.0,48,1,4,24000.0,2,16,65,2008,1,NPL,35,15
733,20000.0,19525.0,24,1,8,12000.0,1,18,51,2011,0,PL,32,12
779,10000.0,9996.01,12,1,0,18200.0,1,4,21,2007,2,NPL,41,16
781,14200.0,13053.27,12,0,4,9000.0,1,4,144,2009,2,NPL,23,14
787,18500.0,18327.61,18,1,8,11000.0,1,18,49,2018,0,PL,33,5
791,28000.0,28000.0,12,1,9,30000.01,1,4,145,2021,2,NPL,55,2
827,17500.0,17428.68,36,0,5,18370.0,1,4,86,2013,0,PL,41,10
908,110000.0,109101.15,60,0,0,25000.0,0,4,20,2005,1,NPL,35,18
912,20000.0,20000.0,18,1,1,30000.0,1,4,43,2007,1,PL,69,16
959,35000.0,34909.64,24,1,8,15000.0,1,4,42,2017,0,PL,28,6
964,23000.0,22986.88,18,0,8,17000.0,1,4,109,2011,0,PL,37,12
1045,30000.0,27436.57,24,0,8,15000.0,1,4,144,2017,1,NPL,43,6
